Carimbo de data/hora, Quais redes sociais você mais utiliza no dia a dia?,Em qual período do dia você costuma estar mais ativo na internet?,O que mais influencia sua decisão de compra?,Com que frequência você costuma fazer compras online?,Quais categorias de produtos ou serviços você mais busca na internet?,  Como você prefere aproveitar seu tempo livre?  ,Qual é seu formato favorito para consumir conteúdo?
01/09/2026 20:03:34,Instagram,Tarde (12h às 18h),Recomendação de amigos / influenciadores,A cada 2-3 meses,Moda e acessórios,Saindo com amigos e família,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:06:13,Instagram,Manhã (6h ás 12h),Qualidade do produto,Raramente,Beleza e cuidados pessoais,Saindo com amigos e família,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:06:35,Tik Tok,Noite (18h às 23h),Preço/Promoção,Toda semana,"Moda e acessórios, Beleza e cuidados pessoais, Tecnologia e eletrônicos, Alimentação / Delivery, Educação / Cursos, Entretenimento / Games / Filmes",Outro,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:09:35,"Tik Tok, Instagram, Whatsapp",Tarde (12h às 18h),Qualidade do produto,1 a 2 vezes por mês,Moda e acessórios,Saindo com amigos e família,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:09:55,,Tarde (12h às 18h),Qualidade do produto,A cada 2-3 meses,Moda e acessórios,Nas redes sociais,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:10:44,"Tik Tok, Instagram",O dia todo,Qualidade do produto,Raramente,"Tecnologia e eletrônicos, Alimentação / Delivery, Educação / Cursos, Entretenimento / Games / Filmes",Saindo com amigos e família,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:14:24,"Tik Tok, Whatsapp",Noite (18h às 23h),Qualidade do produto,Raramente,"Moda e acessórios, Beleza e cuidados pessoais, Entretenimento / Games / Filmes",Assistir séries/filmes,Imagens/Fotos
01/09/2026 20:20:38,Instagram,Tarde (12h às 18h),Qualidade do produto,Raramente,Moda e acessórios,Saindo com amigos e família,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 20:47:54,"Tik Tok, Instagram, Whatsapp",Tarde (12h às 18h),Preço/Promoção,Raramente,"Moda e acessórios, Beleza e cuidados pessoais, Alimentação / Delivery",Outro,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 21:08:02,"Tik Tok, Instagram, Whatsapp",O dia todo,Marca / Confiança,1 a 2 vezes por mês,"Moda e acessórios, Beleza e cuidados pessoais, Alimentação / Delivery",Nas redes sociais,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 21:21:12,"Tik Tok, Instagram, Whatsapp",Tarde (12h às 18h),Avaliações de outros clientes,Raramente,"Moda e acessórios, Beleza e cuidados pessoais, Alimentação / Delivery",Assistir séries/filmes,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
01/09/2026 22:12:12,Tik Tok,Noite (18h às 23h),Preço/Promoção,A cada 2-3 meses,Moda e acessórios,Praticando esportes/Academia,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
02/09/2026 13:02:52,"Tik Tok, Instagram, Youtube, Whatsapp, Facebook, Twitter",O dia todo,Frete grátis / entrega rápida,1 a 2 vezes por mês,Entretenimento / Games / Filmes,,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
02/09/2026 13:57:17,"Tik Tok, Instagram, Whatsapp",Tarde (12h às 18h),Recomendação de amigos / influenciadores,A cada 2-3 meses,Moda e acessórios,Nas redes sociais,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
02/09/2026 15:35:38,Instagram,Noite (18h às 23h),Preço/Promoção,1 a 2 vezes por mês,Beleza e cuidados pessoais,Saindo com amigos e família,"Vídeos curtos ( Reels, Tik Tok, Shorts)"
